Issue Type,Epic Name,Epic Link,Summary,Description,Priority,Labels,Component,Story Points,Acceptance Criteria
Epic,Ticket Data Model & Lifecycle,,REQ-1: Ticket Data Model & Lifecycle,"Replicate the core osTicket Ticket class and its full lifecycle (creation, status transitions, merge/link, overdue detection) as Salesforce custom objects and automation. Source: include/class.ticket.php",High,"mosticket,modernization",Data-Model,,
Story,,Ticket Data Model & Lifecycle,REQ-1.1: Ticket Object,"Replicate the Ticket class (include/class.ticket.php lines 39-106) as a Salesforce custom object. The osTicket Ticket model uses VerySimpleModel ORM with joins to TicketStatus, Dept, Sla, Staff, Team, User, Topic, and TicketThread.

Fields required:
- ticket_id (PK), number (auto-number, supports custom format per Help Topic), user_id, status_id, dept_id, sla_id, topic_id, staff_id, team_id, email_id, lock_id
- ip_address, source (Web/Email/Phone/API/Other), isoverdue (boolean), isanswered (boolean), duedate, est_duedate, reopened, closed, lastupdate, created
- flags bitmask: FLAG_COMBINE_THREADS (0x0001), FLAG_SEPARATE_THREADS (0x0002), FLAG_LINKED (0x0008), FLAG_PARENT (0x0010)
- ticket_pid (self-referential for merge/link parent)

Source: include/class.ticket.php lines 39-106, 121-124",High,"mosticket,modernization",Data-Model,13,"- All fields from osTicket Ticket model exist as Salesforce custom fields with correct data types
- Lookup relationships to Status, Dept, SLA, Staff, Team, User, Topic objects are functional
- Self-referential ticket_pid relationship supports parent/child hierarchy
- Source picklist includes Web, Email, Phone, API, Other
- Flag fields are implemented as checkbox or picklist equivalents
- Auto-number field supports configurable format per Help Topic
- Record creation and update triggers fire without errors
- Unit tests cover CRUD operations and relationship traversal"
Story,,Ticket Data Model & Lifecycle,REQ-1.2: Ticket Status,"The TicketStatus model governs states: Open, Closed, Archived, Deleted. Each status has a state property. Closed statuses can define a reopen_status for when a client replies to a closed ticket. Archived tickets cannot be reopened.

Source: include/class.ticket.php lines 1605-1624",High,"mosticket,modernization",Data-Model,5,"- TicketStatus custom object exists with Open, Closed, Archived, Deleted states
- Each status record has a state property field
- Closed statuses have an optional reopen_status lookup
- Attempting to reopen an Archived ticket returns an error
- Client reply to a closed ticket triggers automatic reopen to the defined reopen_status
- Validation rule prevents invalid state transitions
- Unit tests cover all state transitions including edge cases"
Story,,Ticket Data Model & Lifecycle,REQ-1.3: Ticket Permissions,"12 granular permission constants must be enforced: PERM_CREATE, PERM_EDIT, PERM_ASSIGN, PERM_RELEASE, PERM_TRANSFER, PERM_REFER, PERM_MERGE, PERM_LINK, PERM_REPLY, PERM_MARKANSWERED, PERM_CLOSE, PERM_DELETE.

Source: include/class.ticket.php lines 108-119",High,"mosticket,modernization",Security,8,"- All 12 permission constants are defined as custom permissions or permission set entries
- Each permission is independently assignable per role
- Ticket actions are gated by the corresponding permission check
- Attempting a forbidden action returns a clear permission-denied error
- Admin can view and modify permission assignments via UI
- Integration tests verify each permission blocks/allows the correct action"
Story,,Ticket Data Model & Lifecycle,REQ-1.4: Ticket Creation,"Ticket::create() is the core factory method. It accepts vars from multiple origins (Web, Email, Staff, API) with different validation rules per origin. It processes dynamic forms, applies ticket filters, sets default status, creates a TicketThread, fires Signal::send('ticket.created'), and triggers auto-responses and staff alerts.

Source: include/class.ticket.php lines 4055-4078, 4351-4410",High,"mosticket,modernization",Data-Model,13,"- Tickets can be created from Web, Email, Staff, and API sources
- Validation rules differ per source and are enforced correctly
- Dynamic form fields are processed and saved on creation
- Ticket filters execute and apply actions (route, assign, reject) during creation
- Default status is set based on configuration
- A TicketThread record is auto-created with the ticket
- Platform event or signal fires on ticket.created
- Auto-response email is sent to the ticket owner
- Staff alert email is sent to assigned agent/department
- Creation fails gracefully with clear error messages on invalid input"
Story,,Ticket Data Model & Lifecycle,REQ-1.5: Ticket Merge & Link,"Three merge modes: combine (single thread), separate (threads kept distinct but grouped), visual (link only, no data merge). Child tickets have a ticket_pid pointing to the parent. Merge consolidates collaborators and creates cross-referral for departments.

Source: include/class.ticket.php lines 2521-2580",Medium,"mosticket,modernization",Data-Model,8,"- Combine merge moves all thread entries into the parent ticket's thread
- Separate merge groups tickets but preserves individual threads
- Visual link sets ticket_pid without moving any data
- Child ticket's ticket_pid correctly references the parent
- Collaborators from child tickets are added to the parent
- Cross-department referrals are created when tickets span departments
- Merged child tickets display a merged indicator in the UI
- Undo/unlink operation is available for visual links"
Story,,Ticket Data Model & Lifecycle,REQ-1.6: Overdue Detection,"A scheduled process (Ticket::checkOverdue()) queries for open tickets where isoverdue=0 and either est_duedate < NOW() or duedate < NOW(). Matched tickets are marked overdue and trigger onOverdue() alerts.

Source: include/class.ticket.php lines 4724-4740, 2427-2444",High,"mosticket,modernization",Automation,5,"- Scheduled Apex or Flow runs on a configurable interval
- Queries open tickets where isoverdue=false and duedate or est_duedate is past
- Matched tickets have isoverdue set to true
- onOverdue alert email is sent to assigned agent and/or department manager
- Tickets already marked overdue are not re-processed
- Batch handles 10,000+ tickets without governor limit errors
- Unit tests cover boundary conditions (exactly at duedate, one second past)"
Epic,Thread & Communication,,REQ-2: Thread & Communication System,"Replicate osTicket's thread model: message/response/note entries, audit events, collaborators, referrals, and email threading. Source: include/class.thread.php",High,"mosticket,modernization",Communication,,
Story,,Thread & Communication,REQ-2.1: Thread Object,"Each ticket has one Thread container (TicketThread) linked via object_id and object_type. The thread contains ThreadEntry records, ThreadEvent audit records, and Collaborator records.

Source: include/class.thread.php lines 22-55",High,"mosticket,modernization",Communication,8,"- Thread custom object exists with polymorphic object_id and object_type fields
- One-to-one relationship enforced between Ticket and Thread
- Thread has child relationships to ThreadEntry, ThreadEvent, and Collaborator
- Deleting a ticket cascades to delete the associated thread and children
- Thread creation is automatic on ticket creation
- Query for all entries/events/collaborators via thread works correctly"
Story,,Thread & Communication,REQ-2.2: Thread Entry Types,"Three entry types must be supported:
- M (Message): From client. Visible to everyone. Triggers staff alerts.
- R (Response): From staff. Visible to everyone. Triggers client/collaborator alerts.
- N (Note): Internal only. Visible to staff. No external notifications.

Each entry has: body (rich text), poster (staff or user), title, flags, ip_address, created, updated. Entries support a pid (parent ID) for edit history tracking.

Source: include/class.thread.php lines 421-480",High,"mosticket,modernization",Communication,8,"- ThreadEntry object supports M, R, N types via picklist
- Messages (M) are visible to all users including portal clients
- Responses (R) are visible to all users and trigger client/collaborator notifications
- Notes (N) are visible only to staff and never appear in client portal
- Rich text body field supports HTML content
- Poster field is polymorphic (links to Staff or User)
- Edit history is tracked via pid parent reference
- Staff alert fires on new Message; client alert fires on new Response
- No notification fires on internal Note creation"
